iter	MultiClass
0	1.091888244
1	1.085731301
2	1.079981616
3	1.074716882
4	1.06974548
5	1.065176085
6	1.060882318
7	1.056771447
8	1.052977549
9	1.04933761
10	1.045904845
11	1.042765518
12	1.039688356
13	1.036822302
14	1.034090956
15	1.03151411
16	1.029080013
17	1.026753596
18	1.02445747
19	1.022286749
20	1.020298313
21	1.018421386
22	1.016530607
23	1.014734171
24	1.013021315
25	1.011368594
26	1.00983957
27	1.008340066
28	1.00689779
29	1.005548813
30	1.004234966
31	1.003023502
32	1.001823801
33	1.0007157
34	0.9996016237
35	0.9984782453
36	0.9974024732
37	0.9963782227
38	0.9953744108
39	0.9944333694
40	0.993549824
41	0.992697495
42	0.9918621755
43	0.9909802211
44	0.9901481841
45	0.9893704925
46	0.9885987768
47	0.9879110719
48	0.9872128935
49	0.9865255769
50	0.9858772296
51	0.9852610956
52	0.9846213946
53	0.9840575375
54	0.9835052169
55	0.9829625689
56	0.9824079793
57	0.9818616225
58	0.9813875852
59	0.9809137583
60	0.9804260687
61	0.9799757445
62	0.9795223885
63	0.979077932
64	0.9786241302
65	0.9782206257
66	0.9778236206
67	0.9774450762
68	0.9770645937
69	0.9767091118
70	0.976374637
71	0.9760197672
72	0.9756779568
73	0.9753934486
74	0.9750740217
75	0.9747407572
76	0.9744311902
77	0.9741532044
78	0.9738496488
79	0.9735444463
80	0.9732683599
81	0.9730075156
82	0.9727437381
83	0.9724803113
84	0.9722685697
85	0.9720157392
86	0.9717794978
87	0.9715675195
88	0.9713338372
89	0.9711148471
90	0.9708890061
91	0.9707248477
92	0.9705047963
93	0.9703269432
94	0.9701359072
95	0.9699463553
96	0.9697742189
97	0.9696022814
98	0.9694284412
99	0.9692833158
100	0.9691291126
101	0.9689504508
102	0.96877921
103	0.9686052162
104	0.9684675672
105	0.9683327175
106	0.9682310912
107	0.9681052002
108	0.9679578391
109	0.9677906441
110	0.9676400776
111	0.967490468
112	0.9673526183
113	0.9672655827
114	0.9671451644
115	0.9670464693
116	0.9669158028
117	0.9668049446
118	0.9666784385
119	0.9665318135
120	0.9664006701
121	0.9662768508
122	0.9661823205
123	0.9660756378
124	0.9659989464
125	0.9659079902
126	0.9658399049
127	0.9657545065
128	0.9656808514
129	0.9655770936
130	0.9655166262
131	0.9654036286
132	0.9653414923
133	0.965266535
134	0.965200495
135	0.9650962562
136	0.9650522275
137	0.9650027835
138	0.9649100897
139	0.9648266455
140	0.9647506871
141	0.9646691226
142	0.9645857759
143	0.9645133978
144	0.964426372
145	0.9643203637
146	0.9642289611
147	0.9641495621
148	0.9640870574
149	0.9639887161
150	0.9638996134
151	0.9638389104
152	0.9637612616
153	0.9636868727
154	0.9636431135
155	0.963584197
156	0.9634878876
157	0.9633988342
158	0.963332066
159	0.9632479628
160	0.9631505014
161	0.9630564394
162	0.963017458
163	0.9629340074
164	0.9628708266
165	0.9627816865
166	0.9627114152
167	0.9626307991
168	0.9625657343
169	0.9625292175
170	0.962443421
171	0.962365903
172	0.9622829815
173	0.9622440377
174	0.9621991189
175	0.9621203323
176	0.9620737928
177	0.9620271174
178	0.9619561597
179	0.9619120572
180	0.9618571959
181	0.9617848523
182	0.9617374142
183	0.9616577701
184	0.9615907262
185	0.9615431689
186	0.9614650114
187	0.9613692849
188	0.9613224082
189	0.9612436774
190	0.9611677459
191	0.9611324149
192	0.9610783909
193	0.9610007983
194	0.9609666119
195	0.9609010795
196	0.9608572829
197	0.9607943895
198	0.9607485401
199	0.9606650805
200	0.9606147536
201	0.9605448688
202	0.9604972516
203	0.960452858
204	0.9604187782
205	0.9603574933
206	0.9603142802
207	0.9602551457
208	0.9602112862
209	0.9601519704
210	0.9601093598
211	0.9600433699
212	0.9599786201
213	0.9599245438
214	0.959852927
215	0.9598049512
216	0.9597698988
217	0.9597202636
218	0.95968214
219	0.9596501387
220	0.9595949087
221	0.9595465591
222	0.9594976313
223	0.9594598559
224	0.9594150319
225	0.9593798155
226	0.9593475483
227	0.9592960663
228	0.9592640399
229	0.9592306562
230	0.9592002996
231	0.959145026
232	0.9591009109
233	0.9590694469
234	0.959025123
235	0.9589694666
236	0.958924422
237	0.9588941607
238	0.9588635679
239	0.9588195785
240	0.9587594761
241	0.9587265722
242	0.9586944764
243	0.9586282029
244	0.9585695033
245	0.9585323131
246	0.9584849263
247	0.9584323884
248	0.9583876296
249	0.958352812
250	0.9583081595
251	0.9582527373
252	0.9582248599
253	0.958190826
254	0.9581594557
255	0.9580892195
256	0.9580674673
257	0.9579997523
258	0.9579640078
259	0.9578970006
260	0.9578531718
261	0.9578166681
262	0.9577608718
263	0.9577186023
264	0.9576749092
265	0.9576516218
266	0.957612548
267	0.9575569275
268	0.9575154464
269	0.9574593907
270	0.9574287991
271	0.9573855698
272	0.9573391433
273	0.9573105902
274	0.957244369
275	0.9571926672
276	0.9571431542
277	0.9571103404
278	0.9570498756
279	0.9570223098
280	0.9569839687
281	0.956941796
282	0.9569082646
283	0.9568610183
284	0.9568301471
285	0.9567713629
286	0.9567289661
287	0.9566981534
288	0.9566594894
289	0.9566334568
