iter	Passed	Remaining
0	253	253469
1	346	172932
2	443	147508
3	598	149000
4	685	136371
5	778	129037
6	888	125980
7	1002	124301
8	1112	122477
9	1210	119828
10	1305	117331
11	1406	115761
12	1521	115524
13	1619	114062
14	1715	112671
15	1807	111166
16	1907	110292
17	2017	110084
18	2130	109985
19	2239	109748
20	2347	109434
21	2450	108942
22	2555	108543
23	2667	108481
24	2786	108660
25	2893	108411
26	2990	107759
27	3084	107067
28	3178	106431
29	3281	106092
30	3401	106311
31	3522	106545
32	3619	106069
33	3712	105481
34	3826	105503
35	3934	105346
36	4025	104767
37	4117	104238
38	4221	104024
39	4337	104093
40	4433	103691
41	4521	103139
42	4619	102821
43	4715	102462
44	4819	102280
45	4917	101979
46	5022	101847
47	5122	101589
48	5209	101097
49	5300	100700
50	5387	100258
51	5500	100283
52	5619	100411
53	5721	100239
54	5809	99821
55	5905	99555
56	6000	99276
57	6101	99103
58	6193	98788
59	6284	98460
60	6371	98081
61	6462	97775
62	6556	97513
63	6649	97247
64	6746	97044
65	6841	96822
66	6935	96580
67	7028	96334
68	7126	96161
69	7240	96193
70	7343	96086
71	7427	95732
72	7520	95494
73	7609	95217
74	7720	95215
75	7811	94971
76	7963	95460
77	8054	95208
78	8141	94911
79	8226	94607
80	8312	94315
81	8402	94066
82	8496	93865
83	8582	93591
84	8675	93387
85	8772	93228
86	8864	93022
87	8953	92792
88	9051	92646
89	9140	92425
90	9235	92253
91	9328	92071
92	9413	91808
93	9502	91591
94	9590	91366
95	9685	91202
96	9776	91010
97	9864	90793
98	9951	90570
99	10040	90364
100	10134	90202
101	10229	90059
102	10322	89897
103	10409	89678
104	10491	89423
105	10584	89271
106	10674	89083
107	10767	88933
108	10857	88750
109	10954	88629
110	11044	88453
111	11127	88223
112	11214	88028
113	11310	87906
114	11398	87722
115	11491	87571
116	11584	87425
117	11666	87205
118	11769	87132
119	11857	86954
120	11949	86803
121	12039	86648
122	12134	86522
123	12223	86356
124	12313	86194
125	12402	86032
126	12491	85866
127	12591	85781
128	12689	85676
129	12785	85563
130	12877	85420
131	12974	85319
132	13064	85162
133	13158	85038
134	13245	84869
135	13330	84685
136	13414	84499
137	13499	84319
138	13587	84165
139	13680	84038
140	13789	84011
141	13876	83844
142	13969	83720
143	14062	83592
144	14154	83462
145	14254	83378
146	14340	83211
147	14432	83084
148	14518	82922
149	14606	82771
150	14714	82733
151	14805	82600
152	14900	82487
153	14992	82358
154	15070	82159
155	15180	82130
156	15272	82004
157	15371	81916
158	15454	81742
159	15553	81657
160	15650	81558
161	15745	81449
162	15828	81279
163	15914	81127
164	16022	81083
165	16122	80998
166	16210	80857
167	16297	80712
168	16386	80573
169	16469	80409
170	16556	80267
171	16654	80175
172	16748	80062
173	16830	79896
174	16927	79800
175	17022	79696
176	17109	79554
177	17192	79394
178	17274	79231
179	17364	79105
180	17452	78971
181	17554	78898
182	17643	78768
183	17734	78647
184	17837	78579
185	17923	78440
186	18046	78460
187	18170	78479
188	18269	78394
189	18360	78274
190	18459	78186
191	18546	78047
192	18654	77999
193	18755	77923
194	18842	77786
195	18940	77696
196	19032	77578
197	19134	77505
198	19224	77382
199	19317	77270
200	19413	77169
201	19529	77150
202	19618	77025
203	19718	76941
204	19815	76846
205	19945	76879
206	20044	76787
207	20144	76704
208	20242	76612
209	20335	76500
210	20424	76374
211	20519	76271
212	20626	76212
213	20728	76134
214	20824	76035
215	20928	75961
216	21020	75848
217	21107	75716
218	21210	75639
219	21291	75487
220	21383	75375
221	21488	75307
222	21585	75211
223	21679	75105
224	21780	75020
225	21874	74913
226	21967	74806
227	22071	74733
228	22155	74592
229	22249	74487
230	22351	74408
231	22453	74329
232	22555	74249
233	22646	74132
234	22771	74126
235	22887	74092
236	23016	74099
237	23111	73994
238	23207	73895
239	23311	73818
240	23409	73725
241	23505	73624
242	23612	73557
243	23709	73462
244	23810	73374
245	23906	73273
246	24009	73194
247	24111	73112
248	24208	73013
249	24353	73060
250	24442	72939
251	24579	72958
252	24678	72863
253	24773	72759
254	24874	72671
255	24977	72591
256	25064	72461
257	25168	72383
258	25270	72298
259	25385	72250
260	25474	72128
261	25569	72025
262	25693	71999
263	25791	71904
264	25909	71862
265	26007	71764
266	26101	71658
267	26211	71593
268	26321	71529
269	26422	71438
270	26524	71352
271	26626	71266
272	26737	71202
273	26831	71093
274	26931	71000
275	27019	70877
276	27132	70819
277	27227	70712
278	27317	70595
279	27406	70474
280	27514	70401
281	27613	70307
282	27729	70253
283	27820	70138
284	27905	70009
285	28017	69944
286	28104	69819
287	28188	69687
288	28283	69583
289	28372	69462
